 h bar =  0.492508228253105     
 Volume Error=   7.608491614519153E-002   16.5053450018604     
 TE -error=   -40918.3886718750        5928827407336.30     
 Volume Error=   7.509584065701347E-002   16.5043559263722     
 TE -error=   -39948.9755859375        5928827408305.71     
 Volume Error=   7.706262294959743E-002   16.5063227086648     
 TE -error=   -39024.8974609375        5928827409229.79     
 Volume Error=   7.698304216319229E-002   16.5062431278784     
 TE -error=   -38147.4658203125        5928827410107.22     
 Volume Error=   7.732410267635714E-002   16.5065841883916     
 TE -error=   -37262.7587890625        5928827410991.93     
 Volume Error=   7.476046448573470E-002   16.5040205502009     
 TE -error=   -36414.9189453125        5928827411839.77     
 Volume Error=   7.531184564868454E-002   16.5045719313639     
 TE -error=   -35590.1259765625        5928827412664.56     
 Volume Error=   7.405560609186068E-002   16.5033156918071     
 TE -error=   -34778.5234375000        5928827413476.17     
 Volume Error=   7.847802407923155E-002   16.5077381097944     
 TE -error=   -34021.5927734375        5928827414233.10     
 Volume Error=   7.600533535878640E-002   16.5052654210740     
 TE -error=   -33325.0576171875        5928827414929.63     
 Volume Error=   7.294715942407493E-002   16.5022072451393     
 TE -error=   -32606.1699218750        5928827415648.52     
 Volume Error=   7.632365850440692E-002   16.5055837442196     
 TE -error=   -32035.5107421875        5928827416219.18     
 Volume Error=   7.926814760139678E-002   16.5085282333166     
 TE -error=   -31492.4306640625        5928827416762.26     
 Volume Error=   7.998437467904296E-002   16.5092444603943     
 TE -error=   -31066.8291015625        5928827417187.86     
 Volume Error=   7.283915692823939E-002   16.5020992426435     
 TE -error=   -30776.6787109375        5928827417478.01     
 Volume Error=   7.369180821115151E-002   16.5029518939264     
 TE -error=   -30533.9726562500        5928827417720.72     
 Volume Error=   7.536868906754535E-002   16.5046287747828     
 TE -error=   -30480.9765625000        5928827417773.71     
 Volume Error=   7.740368346276227E-002   16.5066637691780     
 TE -error=   -30549.5468750000        5928827417705.14     
 Volume Error=   7.648850441910326E-002   16.5057485901343     
 TE -error=   -30698.9521484375        5928827417555.74     
 Volume Error=   7.427729542541783E-002   16.5035373811406     
 TE -error=   -31069.3603515625        5928827417185.33     
 Volume Error=   7.900098353275098E-002   16.5082610692480     
 TE -error=   -31532.1025390625        5928827416722.59     
 Volume Error=   7.811991054040845E-002   16.5073799962556     
 TE -error=   -32172.5732421875        5928827416082.12     
 Volume Error=   7.893277143011801E-002   16.5081928571453     
 TE -error=   -32927.0292968750        5928827415327.66     
 Volume Error=   7.290736903087236E-002   16.5021674547461     
 TE -error=   -33758.4775390625        5928827414496.21     
 Volume Error=   7.585754246974830E-002   16.5051176281850     
 TE -error=   -34727.7861328125        5928827413526.90     
 Volume Error=   7.204334906418808E-002   16.5013034347794     
 TE -error=   -35783.4912109375        5928827412471.20     
 Volume Error=   7.644302968401462E-002   16.5057031153992     
 TE -error=   -36891.9794921875        5928827411362.71     
 Volume Error=   7.910330168670043E-002   16.5083633874019     
 TE -error=   -38185.8007812500        5928827410068.89     
 Volume Error=   7.115659172995947E-002   16.5004166774452     
 TE -error=   -39464.7128906250        5928827408789.98     
 Volume Error=   7.499352250306401E-002   16.5042536082183     
 TE -error=   -40833.1455078125        5928827407421.54     
 Volume Error=   7.391918188659474E-002   16.5031792676018     
 TE -error=   -42310.2333984375        5928827405944.46     
 Volume Error=   7.354401532211341E-002   16.5028041010373     
 TE -error=   -43825.2822265625        5928827404429.41     
 Volume Error=   7.124185685825069E-002   16.5005019425735     
 TE -error=   -45392.8193359375        5928827402861.87     
 Volume Error=   7.307221494556870E-002   16.5023323006608     
 TE -error=   -46997.2529296875        5928827401257.44     
 Volume Error=   7.328253559535369E-002   16.5025426213106     
 TE -error=   -48711.1464843750        5928827399543.54     
 Volume Error=   7.390781320282258E-002   16.5031678989180     
 TE -error=   -50421.0390625000        5928827397833.65     
 Volume Error=   7.490825737477280E-002   16.5041683430900     
 TE -error=   -52125.5439453125        5928827396129.15     
 Volume Error=   7.358380571531598E-002   16.5028438914305     
 TE -error=   -53819.6933593750        5928827394435.00     
 Volume Error=   7.476614882762078E-002   16.5040262345428     
 TE -error=   -55488.6572265625        5928827392766.03     
 Volume Error=   7.065636964398436E-002   16.4999164553592     
 TE -error=   -57089.4238281250        5928827391165.27     
 Volume Error=   7.141238711483311E-002   16.5006724728300     
 TE -error=   -58593.0898437500        5928827389661.60     
 Volume Error=   7.416929292958230E-002   16.5034293786448     
 TE -error=   -60085.0683593750        5928827388169.62     
 Volume Error=   7.570122306788107E-002   16.5049613087831     
 TE -error=   -61478.8808593750        5928827386775.81     
 Volume Error=   7.347580321948044E-002   16.5027358889347     
 TE -error=   -62848.3896484375        5928827385406.30     
 Volume Error=   7.175913196988404E-002   16.5010192176851     
 TE -error=   -64108.6542968750        5928827384146.04     
 Volume Error=   7.340332786043291E-002   16.5026634135756     
 TE -error=   -65289.4843750000        5928827382965.21     
 Volume Error=   7.416929292958230E-002   16.5034293786448     
 TE -error=   -66380.2285156250        5928827381874.46     
 Volume Error=   7.339764351854683E-002   16.5026577292338     
 TE -error=   -67392.3828125000        5928827380862.31     
 Volume Error=   7.407763291666924E-002   16.5033377186319     
 TE -error=   -68278.5166015625        5928827379976.17     
 Volume Error=   7.371738774963887E-002   16.5029774734649     
 TE -error=   -69170.3916015625        5928827379084.30     
 Volume Error=   7.393765599772451E-002   16.5031977417129     
 TE -error=   -69944.1406250000        5928827378310.55     
 Volume Error=   7.292157988558756E-002   16.5021816656008     
 TE -error=   -70735.1621093750        5928827377519.53     
 Volume Error=   7.298694981727749E-002   16.5022470355325     
 TE -error=   -71531.2958984375        5928827376723.39     
 Volume Error=   7.504112886635994E-002   16.5043012145816     
 TE -error=   -72402.4863281250        5928827375852.20     
 Volume Error=   7.508376143050555E-002   16.5043438471457     
 TE -error=   -73324.2871093750        5928827374930.40     
 Volume Error=   7.549436631393291E-002   16.5047544520291     
 TE -error=   -74246.4189453125        5928827374008.27     
 Volume Error=   7.488480946449272E-002   16.5041448951797     
 TE -error=   -75248.9335937500        5928827373005.76     
 Volume Error=   7.579288308079413E-002   16.5050529687960     
 TE -error=   -76335.3115234375        5928827371919.38     
 Volume Error=   7.537721558037447E-002   16.5046373012956     
 TE -error=   -77463.7802734375        5928827370790.91     
 Volume Error=   7.542553248640615E-002   16.5046856182016     
 TE -error=   -78591.0898437500        5928827369663.60     
 Volume Error=   7.379412636510096E-002   16.5030542120803     
 TE -error=   -79686.6210937500        5928827368568.07     
 Volume Error=   7.585185812786222E-002   16.5051119438431     
 TE -error=   -80782.2753906250        5928827367472.41     
 Volume Error=   7.183302841440309E-002   16.5010931141296     
